tm_fc,tm_ef,ta_min,ta_max
202301191800,202301220000,-4.0,2.0
202301191800,202301230000,-3.0,-1.0
202301191800,202301240000,-17.0,-10.0
202301191800,202301250000,-16.0,-6.0
202301191800,202301260000,-11.0,-2.0
202301191800,202301270000,-9.0,-3.0
202301191800,202301280000,-11.0,-2.0
202301191800,202301290000,-9.0,-1.0
202301200600,202301230000,-3.0,-1.0
202301200600,202301240000,-17.0,-10.0
202301200600,202301250000,-16.0,-6.0
202301200600,202301260000,-11.0,-2.0
202301200600,202301270000,-9.0,-3.0
202301200600,202301280000,-11.0,-2.0
202301200600,202301290000,-9.0,-1.0
202301200600,202301300000,-7.0,1.0
202301201800,202301230000,-2.0,3.0
202301201800,202301240000,-17.0,-12.0
202301201800,202301250000,-16.0,-6.0
202301201800,202301260000,-9.0,-1.0
202301201800,202301270000,-7.0,-2.0
202301201800,202301280000,-9.0,-2.0
202301201800,202301290000,-8.0,0.0
202301201800,202301300000,-7.0,0.0
202301210600,202301240000,-17.0,-12.0
202301210600,202301250000,-16.0,-6.0
202301210600,202301260000,-8.0,0.0
202301210600,202301270000,-6.0,-2.0
202301210600,202301280000,-10.0,-3.0
202301210600,202301290000,-9.0,-1.0
202301210600,202301300000,-8.0,0.0
202301210600,202301310000,-8.0,0.0
202301211800,202301240000,-16.0,-12.0
202301211800,202301250000,-17.0,-6.0
202301211800,202301260000,-7.0,0.0
202301211800,202301270000,-8.0,-3.0
202301211800,202301280000,-11.0,-4.0
202301211800,202301290000,-11.0,-2.0
202301211800,202301300000,-9.0,0.0
202301211800,202301310000,-7.0,1.0
202301220600,202301250000,-17.0,-6.0
202301220600,202301260000,-7.0,0.0
202301220600,202301270000,-8.0,-3.0
202301220600,202301280000,-11.0,-4.0
202301220600,202301290000,-10.0,0.0
202301220600,202301300000,-8.0,0.0
202301220600,202301310000,-7.0,1.0
202301220600,202302010000,-5.0,2.0
202301221800,202301250000,-17.0,-6.0
202301221800,202301260000,-7.0,-1.0
202301221800,202301270000,-9.0,-4.0
202301221800,202301280000,-12.0,-3.0
202301221800,202301290000,-8.0,1.0
202301221800,202301300000,-6.0,2.0
202301221800,202301310000,-6.0,2.0
202301221800,202302010000,-4.0,3.0
202301230600,202301260000,-7.0,-1.0
202301230600,202301270000,-9.0,-4.0
202301230600,202301280000,-12.0,-3.0
202301230600,202301290000,-8.0,1.0
202301230600,202301300000,-6.0,1.0
202301230600,202301310000,-6.0,2.0
202301230600,202302010000,-4.0,3.0
202301230600,202302020000,-5.0,1.0
202301231800,202301260000,-7.0,-1.0
202301231800,202301270000,-9.0,-4.0
202301231800,202301280000,-12.0,-3.0
202301231800,202301290000,-8.0,1.0
202301231800,202301300000,-7.0,1.0
202301231800,202301310000,-6.0,2.0
202301231800,202302010000,-4.0,3.0
202301231800,202302020000,-5.0,1.0
202301240600,202301270000,-8.0,-5.0
202301240600,202301280000,-12.0,-2.0
202301240600,202301290000,-7.0,2.0
202301240600,202301300000,-8.0,-1.0
202301240600,202301310000,-8.0,3.0
202301240600,202302010000,-3.0,2.0
202301240600,202302020000,-6.0,1.0
202301240600,202302030000,-8.0,1.0
202301241800,202301270000,-8.0,-5.0
202301241800,202301280000,-12.0,-2.0
202301241800,202301290000,-7.0,2.0
202301241800,202301300000,-8.0,-1.0
202301241800,202301310000,-8.0,3.0
202301241800,202302010000,-3.0,2.0
202301241800,202302020000,-6.0,1.0
202301241800,202302030000,-8.0,1.0
202301250600,202301280000,-12.0,-2.0
202301250600,202301290000,-7.0,2.0
202301250600,202301300000,-7.0,0.0
202301250600,202301310000,-8.0,3.0
202301250600,202302010000,-3.0,2.0
202301250600,202302020000,-6.0,0.0
202301250600,202302030000,-8.0,1.0
202301250600,202302040000,-6.0,3.0
202301251800,202301280000,-12.0,-3.0
202301251800,202301290000,-7.0,2.0
202301251800,202301300000,-7.0,0.0
202301251800,202301310000,-8.0,3.0
202301251800,202302010000,-3.0,2.0
202301251800,202302020000,-6.0,0.0
202301251800,202302030000,-8.0,1.0
202301251800,202302040000,-6.0,3.0
202301260600,202301290000,-8.0,4.0
202301260600,202301300000,-6.0,1.0
202301260600,202301310000,-7.0,4.0
202301260600,202302010000,-2.0,2.0
202301260600,202302020000,-8.0,-1.0
202301260600,202302030000,-8.0,0.0
202301260600,202302040000,-5.0,2.0
202301260600,202302050000,-5.0,2.0
202301261800,202301290000,-8.0,3.0
202301261800,202301300000,-7.0,1.0
202301261800,202301310000,-6.0,4.0
202301261800,202302010000,-2.0,2.0
202301261800,202302020000,-8.0,-1.0
202301261800,202302030000,-8.0,0.0
202301261800,202302040000,-5.0,3.0
202301261800,202302050000,-5.0,2.0
202301270600,202301300000,-7.0,1.0
202301270600,202301310000,-6.0,4.0
202301270600,202302010000,-2.0,2.0
202301270600,202302020000,-8.0,-1.0
202301270600,202302030000,-8.0,0.0
202301270600,202302040000,-5.0,3.0
202301270600,202302050000,-5.0,2.0
202301270600,202302060000,-5.0,4.0
202301271800,202301300000,-7.0,1.0
202301271800,202301310000,-5.0,5.0
202301271800,202302010000,-1.0,2.0
202301271800,202302020000,-8.0,0.0
202301271800,202302030000,-7.0,1.0
202301271800,202302040000,-4.0,3.0
202301271800,202302050000,-5.0,3.0
202301271800,202302060000,-4.0,3.0
202301280600,202301310000,-5.0,5.0
202301280600,202302010000,-1.0,2.0
202301280600,202302020000,-8.0,0.0
202301280600,202302030000,-7.0,1.0
202301280600,202302040000,-4.0,3.0
202301280600,202302050000,-5.0,3.0
